rank,objective_1,objective_2,objective_3,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15
11,1.9118226916329133,0.8534065918883309,-1.3485934398743902,-1.9574938807262414,-2.7823589816053276,0.13118379382418902,-0.969402403012808,1.4594532472762398,0.38400337301629844,-1.553199553650186,-0.5670369084523097,2.317116871151957,0.6456543732451434,0.6482306842117461,0.40872126980900547,-0.650346148954414,-0.0009635875305338271,-2.4981873213693166,0.10217528121291483
12,5.436232184420815,0.6533154336667417,-2.330875112788302,-2.5364809048784434,3.0,2.5962131681453453,-2.694605045040482,1.175139549194095,2.2264605300544353,-2.941050514718752,-2.982630340512194,-2.83765097009599,2.988536119565194,-2.3570655433363514,2.8772376111031437,-0.21348121356262806,0.64545126181437,0.5104462418896685,1.4560964042005322
13,6.6280299330995,2.3781130778850463,-2.5674055789783563,-2.943966433833608,-2.700901815830928,2.615918439767172,-2.694605045040482,-2.5377330801728997,2.3426741245861793,-2.2034254843195322,-2.917942287230655,-2.977284220492348,2.990704945171954,-2.5469617781329896,2.884018715756258,2.963563044687753,2.6153875221257636,0.6175894510648527,1.4379053608243768
14,5.058671945999173,3.4203751025508753,-2.245004920314683,-1.9626407653703883,-2.3657313492746606,-2.156010943363253,-2.9130673569405268,-2.974822179471163,-2.6230197849399133,2.7360437648107965,-0.33046855674180725,2.4539409236926915,-0.48571410129431086,1.3810869613822019,2.9814748364500496,1.994990720866871,1.894469538032439,2.130889547889435,2.422145222096714
15,6.511749151940145,1.7656586469221052,-2.5504381891106656,-2.9719913968361387,-2.7032208084248723,2.476311858212337,-2.6912046796604394,2.9773817145472816,1.4316170342219479,-1.9164554814963102,-2.995066477664792,-2.999357933369916,2.990704945171954,-2.649914914601382,2.863975448734154,2.963563044687753,2.615318744939246,0.5104462418896685,1.4379053608243768
16,4.625702268044575,3.637490552097737,-2.1501955279966936,-1.7811212024174956,-2.349425018969187,-2.159215972929071,-2.9993553040430516,-2.9741194189979456,-2.6234579748383346,1.1697356921943498,-1.2217618068322706,1.1893562988505995,-0.49522045453090463,1.642225977736093,2.981414418824708,1.9949417339791238,1.939115322276403,2.3217749422275062,2.5875951705853573
17,3.0933057619074917,2.4866001238647577,-1.758065057276527,-2.2991249868122168,0.13231265968043482,-2.183394623084248,-2.3814372106491577,-2.4611780722491194,0.37931231045444647,1.2007446148505498,-2.734675139038002,2.5005379438423803,1.8368642834749653,0.5648710217397241,0.41454104586526563,2.4217777020195617,1.5764373523258723,0.3750418670300152,-0.1447106722270355
18,1.300769718617447,0.8128959093070418,-1.139716412084058,0.7638300431190114,0.46681383061994414,0.15078701024118635,-0.8374544723385628,1.4964211820850912,0.6237573361378642,1.3988372479718874,-0.4704716062698273,-0.4591900920465068,1.7475913565580763,-1.6764943883494192,-2.550815242294845,-0.846428060520069,-0.49443222176593404,0.6910605378459151,0.6780614076830427
19,5.162234939783776,3.0925928622123458,-2.2694987179404866,-2.966619587085841,-2.3433873207233953,-2.156024372954713,-2.5550391491518276,1.3178282394035201,-2.7858063497999783,2.88577188024593,-2.905078211670497,2.167498125886799,-0.41922767818398077,1.5772289585147576,2.877283842574937,2.0681243551786404,1.8947137144436579,0.38176947943891504,2.6849972281082364
20,2.443872516778714,1.4500320822647192,-1.563254004957722,-2.7239220463824103,-2.4989158085158456,-1.1352208745382937,-2.708876757882208,1.4749673393236955,0.777363838641663,1.3075905433249189,-0.37680265531846613,2.27133245261596,-0.6744093830615114,0.11723389348650581,0.22458581287709878,-0.32843643725926047,1.9494718539372538,0.7126643267819514,1.4439977173928111
